Year,ICT goods exports (% of total goods exports),Individuals using the Internet (% of population),Fixed telephone subscriptions (per 100 people),"Air transport, freight (million ton-km)","Industrial design applications, nonresident, by count",Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),Electricity production from natural gas sources (% of total),"ICT service exports (% of service exports, BoP)",Healthcare Expenditure Percent GDP,Pharmaceutical Spending US $ / Capita,CT Scan Device Counts,PET Scan Device Counts,Doctors per 1000 People,Nurses per 1000 People,Hospital Count,Total Cases
1999,18.5079532,1.857436221,11.20931818,317.0,976,173600000.0,370200000,18.80998381,10.12930555,4.395,88.193,200,0,1.67,2.14,3940,8645
2000,20.90953692,5.081384153,12.46885271,309.858,1258,375763333.3,793600000,21.45569466,8.997126037000001,4.449,100.973,220,0,1.59,2.19,3952,4277
2001,22.06184116,7.038023117000001,13.73320005,295.884,973,72000000.0,223800000,26.02015066,6.325089853,4.82,110.626,250,0,1.49,2.19,3978,4675
2002,20.73997913,11.9,14.72697117,341.598,1208,375763333.3,71400000,34.16673922,4.442750529,5.072,127.529,296,0,1.5,2.19,4088,4506
2003,19.31120959,12.9,15.84197168,350.089,1162,375763333.3,74700000,40.14317344,3.3973675360000004,5.815,242.81799999999998,309,0,1.55,2.1,4150,5101
2004,19.68440154,14.1,17.29249367,394.925,1555,421700000.0,485600000,42.79262405,3.082826888,5.954,264.753,289,0,1.63,2.08,4110,961
2005,17.98881622,17.21,18.40666632,390.425,1790,30000000.0,1321300000,40.13350986,3.482020696,5.836,270.915,325,0,1.75,2.18,4243,6661
2006,18.76937335,19.52,18.46529449,456.958,1982,53100000.0,2744430000,46.32508669,3.3437925789999996,5.655,282.052,344,0,1.87,2.2,4245,2940
2007,17.71361898,20.81,18.31804621,482.34,1939,306500000.0,6146400000,49.79794324,2.753845563,5.766,292.35900000000004,403,0,1.91,2.27,4344,6151
2008,19.53446412,21.71,18.4915218,482.785,1993,38900000.0,905080000,52.096986799999996,2.260716465,5.699,295.853,446,0,1.94,2.3,4379,559
2009,21.66364602,26.34,17.34385457,714.057,1689,288500000.0,1738540000,54.65427221,1.835045257,6.13,294.35400000000004,459,0,1.97,2.35,4406,7637
2010,20.16678202,31.05,17.45825726,908.9481707999998,1849,793000000.0,1099400000,53.34818917,1.3070220129999999,5.975,291.96299999999997,535,0,2.0,2.41,4456,8044
2011,16.99510788,37.17629541,17.2839952,774.6035196,2240,267900000.0,2729100000,54.33012608,1.495984732,5.7010000000000005,265.124,526,5,2.1,2.51,4430,8516
2012,16.85875525,39.75,17.55527465,763.8862606,2183,42300000.0,1593240000,53.86618407,1.554140509,5.8420000000000005,288.845,597,6,2.12,2.56,4421,9006
2013,16.2663969,43.46,15.64754122,677.1399888999999,2262,140550000.0,3740500000,55.749917599999996,1.089685276,5.941,281.178,629,7,2.17,2.63,4436,8626
2014,16.03827184,44.39,15.42077376,617.5295527000001,2306,1046500000.0,629400000,57.03624592,0.8664327488,5.607,271.151,694,8,2.25,2.7,4395,10941
2015,16.18934081,57.43104299,16.55276658,714.0032110000001,2270,1424600000.0,787100000,59.86121914,0.6962918484999999,5.752000000000001,292.52299999999997,668,7,2.35,2.79,4456,27214
2016,16.14344449,59.540445999999996,16.94255414,760.849242,2645,375763333.3,422700000,44.74047333,0.44206173909999996,5.4639999999999995,242.16,743,7,2.36,2.9,4474,19917
2017,16.10817132,63.85224909,16.63167099,928.8355098,2598,375763333.3,1006900000,44.74047333,0.2915769612,5.517,251.123,714,15,2.43,2.9,4538,27486
2018,18.5079532,65.77263448,16.92791553,1090.3781900000001,2322,537300000.0,589360000,44.74047333,3.0417411989999996,5.457000000000001,251.123,730,15,2.43,2.9,4629,31051
